Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0.055,0,-2.90004e-05,-0.000981057,0,0,-1.07105e-12,-1.07105e-09,0,0,6.23161e-05,0.0035881,-1.44008,-0.967586,-0.304968,0.396178,476.799,0,0,0
0.056,0,-2.99849e-05,-0.000984435,0,0,-1.07105e-12,-1.07105e-09,0,0,6.4794e-05,0.00247792,-0.996253,-1,-0.352936,0.410076,498.978,0,0,0
0.057,0,-3.09725e-05,-0.000987664,0,0,-1.07105e-12,-1.07105e-09,0,0,6.65165e-05,0.00172248,-0.694246,-1,-0.480432,0.337972,515.001,0,0,0
0.058,0,-3.19624e-05,-0.000989871,0,0,-1.07105e-12,-1.07105e-09,0,0,6.8483e-05,0.00196652,-0.792008,-1,-0.523452,0.374326,528.104,0,0,0
0.059,0,-3.29526e-05,-0.000990159,0,0,-1.07105e-12,-1.07105e-09,0,0,7.11251e-05,0.00264204,-1.0624,-1,-0.556322,0.428695,538.24,0,0,0
0.06,0,-3.3943e-05,-0.000990428,0,0,-1.07105e-12,-1.07105e-09,0,0,7.4324e-05,0.00319897,-1.2854,-1,-0.569846,0.505998,554.206,0,0,0
0.061,0,-3.49318e-05,-0.000988844,0,0,-1.07105e-12,-1.07105e-09,0,0,7.77584e-05,0.00343436,-1.37983,-1,-0.637947,0.512102,564.193,0,0,0
0.062,0,-3.592e-05,-0.000988128,0,0,-1.07105e-12,-1.07105e-09,0,0,8.08324e-05,0.00307402,-1.23595,-1,-0.707418,0.513784,582.878,0,0,0
0.063,0,-3.69072e-05,-0.00098728,0,0,-1.07105e-12,-1.07105e-09,0,0,8.28419e-05,0.00200946,-0.810333,-1,-0.792716,0.495318,598.268,0,0,0
0.064,0,-3.78927e-05,-0.000985417,0,0,-1.07105e-12,-1.07105e-09,0,0,8.43971e-05,0.00155518,-0.628762,-1,-0.911679,0.420007,610.64,0,0,0
0.065,0,-3.88743e-05,-0.000981633,0,0,-1.07105e-12,-1.07105e-09,0,0,8.60862e-05,0.00168908,-0.682451,-1,-0.956237,0.505342,620.021,0,0,0
0.066,0,-3.98512e-05,-0.000976935,0,0,-1.07105e-12,-1.07105e-09,0,0,8.7775e-05,0.00168882,-0.682484,-1,-0.975718,0.637825,632.252,0,0,0
0.067,0,-4.08217e-05,-0.000970468,0,0,-1.07105e-12,-1.07105e-09,0,0,8.94034e-05,0.00162842,-0.658454,-1,-1.02525,0.723875,641.519,0,0,0
0.068,0,-4.17849e-05,-0.000963247,0,0,-1.07105e-12,-1.07105e-09,0,0,9.13589e-05,0.00195555,-0.78945,-1,-1.07567,0.817305,653.642,0,0,0
0.069,0,-4.27402e-05,-0.000955303,0,0,-1.07105e-12,-1.07105e-09,0,0,9.41125e-05,0.0027536,-1.10886,-1,-1.06013,0.995986,665.551,0,0,0
0.07,0,-4.3686e-05,-0.000945796,0,0,-1.07105e-12,-1.07105e-09,0,0,9.74855e-05,0.00337293,-1.35684,-1,-1.02254,1.18082,674.492,0,0,0
0.071,0,-4.46209e-05,-0.00093486,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000101058,0.00357251,-1.43695,-1,-1.00999,1.33329,683.389,0,0,0
0.072,0,-4.55435e-05,-0.000922626,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000104527,0.00346918,-1.3959,-1,-1.05372,1.44244,692.222,0,0,0
0.073,0,-4.64553e-05,-0.000911774,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000108253,0.00372536,-1.49866,-1,-1.14693,1.51941,709.329,0,0,0
