Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0.046,0,-1.94436e-05,-0.000892744,0,0,-2.65884e-13,-2.65884e-10,0,0,-8.56025e-05,-0.00462989,1.85862,-1,-0.699639,-0.0217693,360.922,0,0,0
0.047,0,-2.03495e-05,-0.000905942,0,0,-2.65884e-13,-2.65884e-10,0,0,-9.04073e-05,-0.00480478,1.92895,-1,-0.758122,0.0669277,373.649,0,0,0
0.048,0,-2.12681e-05,-0.000918606,0,0,-2.65884e-13,-2.65884e-10,0,0,-9.60378e-05,-0.00563055,2.25968,-1,-0.819141,0.114435,389.189,0,0,0
0.049,0,-2.2198e-05,-0.000929856,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000102158,-0.00611978,2.45584,-1,-0.881728,0.189616,401.919,0,0,0
0.05,0,-2.31369e-05,-0.000938915,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000108373,-0.00621528,2.49453,-1,-0.948697,0.261185,411.934,0,0,0
0.051,0,-2.40828e-05,-0.000945876,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000114467,-0.00609429,2.44663,-1,-1.02724,0.303145,422.035,0,0,0
0.052,0,-2.50379e-05,-0.000955146,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000120247,-0.00577948,2.32118,-1,-1.11884,0.317325,446.122,0,0,0
0.053,0,-2.60028e-05,-0.000964832,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000126701,-0.00645397,2.59147,-1,-1.19095,0.405245,464.703,0,0,0
0.054,0,-2.69749e-05,-0.000972132,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000134058,-0.00735731,2.95336,-1,-1.24296,0.562243,474.38,0,0,0
0.055,0,-2.7953e-05,-0.000978065,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000142294,-0.00823616,3.30552,-1,-1.34032,0.633654,486.921,0,0,0
0.056,0,-2.89357e-05,-0.0009827,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000151344,-0.00905,3.63175,-1,-1.44823,0.7103,499.477,0,0,0
0.057,0,-2.99217e-05,-0.000986071,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000160396,-0.00905156,3.6331,-1,-1.61261,0.684628,512.036,0,0,0
0.058,0,-3.09108e-05,-0.000989098,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000169096,-0.00870073,3.49347,-1,-1.79117,0.61384,527.307,0,0,0
0.059,0,-3.19017e-05,-0.000990867,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.00017709,-0.007994,3.21145,-1,-1.97054,0.505674,539.701,0,0,0
0.06,0,-3.2894e-05,-0.000992281,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000183901,-0.00681072,2.73873,-1,-2.14619,0.343323,554.822,0,0,0
0.061,0,-3.38873e-05,-0.000993312,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000189162,-0.0052609,2.11928,-1,-2.28374,0.33749,569.779,0,0,0
