Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0.125,0,-6.74305e-05,6.39985e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000324651,0.00360977,-1.46973,0.188901,-3.0838,6.1288,870.067,0,0,0
0.126,0,-6.73498e-05,8.07392e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000327321,0.00267017,-1.09415,-0.0310149,-0.476754,-6.93317,866.521,0,0,0
0.127,0,-6.72529e-05,9.68727e-05,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000330619,0.00329817,-1.34558,0.236463,-4.90891,-4.90541,862.937,0,0,0
0.128,0,-6.71413e-05,0.000111603,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000333466,0.00284702,-1.16537,0.190414,-0.169427,6.68313,859.351,0,0,0
0.129,0,-6.70138e-05,0.000127443,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000335796,0.00232992,-0.958737,0.0839322,-0.923691,-6.88753,855.415,0,0,0
0.13,0,-6.68717e-05,0.000142136,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000339822,0.00402666,-1.63769,0.538885,-6.92709,0.369706,851.663,0,0,0
0.131,0,-6.6715e-05,0.000156728,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000341348,0.0015256,-0.637485,-0.134845,6.65347,-1.93187,847.587,0,0,0
0.132,0,-6.65446e-05,0.00017038,0,0,-1.29745e-12,-1.29745e-09,0,0,0.00034388,0.00253169,-1.04009,0.393356,-6.44656,2.51907,843.983,0,0,0
0.133,0,-6.63602e-05,0.000184428,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000345356,0.00147597,-0.617959,0.0776353,3.83807,-5.71427,839.548,0,0,0
0.134,0,-6.61633e-05,0.000196895,0,0,-1.29745e-12,-1.29745e-09,0,0,0.000347217,0.00186109,-0.772139,0.371047,-2.16149,6.5608,835.166,0,0,0
