Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0.063,0,-3.62953e-05,-0.00101789,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000224937,0.00709189,-2.85447,-0.315719,-0.260467,-1.5145,601.207,0,0,0
0.064,0,-3.73143e-05,-0.00101899,0,0,-2.93238e-12,-2.93238e-09,0,0,0.00023184,0.00690325,-2.77957,-0.389587,-0.480397,-1.54527,621.951,0,0,0
0.065,0,-3.83331e-05,-0.0010188,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000238659,0.00681909,-2.74646,-0.442238,-0.701541,-1.53817,633.735,0,0,0
0.066,0,-3.93512e-05,-0.00101809,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000245563,0.0069035,-2.78077,-0.45875,-0.872253,-1.52976,648.211,0,0,0
0.067,0,-4.03664e-05,-0.00101523,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000252678,0.00711583,-2.86626,-0.445585,-1.04576,-1.49822,656.882,0,0,0
0.068,0,-4.13768e-05,-0.00101037,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000260011,0.00733219,-2.95338,-0.430311,-1.11758,-1.528,665.6,0,0,0
0.069,0,-4.23813e-05,-0.00100454,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000267092,0.0070813,-2.85361,-0.506917,-1.11094,-1.61766,677.136,0,0,0
0.07,0,-4.33781e-05,-0.000996801,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000273824,0.00673197,-2.71442,-0.610204,-1.09792,-1.72198,685.752,0,0,0
0.071,0,-4.43654e-05,-0.000987287,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000280367,0.00654336,-2.63951,-0.679757,-1.1137,-1.82006,694.383,0,0,0
0.072,0,-4.53415e-05,-0.000976126,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000286932,0.00656501,-2.6487,-0.69515,-1.12416,-1.9321,703.01,0,0,0
0.073,0,-4.63059e-05,-0.000964404,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000293279,0.00634685,-2.56195,-0.774116,-1.13201,-2.05283,714.29,0,0,0
0.074,0,-4.72578e-05,-0.000951889,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000299057,0.00577785,-2.33483,-0.967028,-1.15988,-2.1733,725.387,0,0,0
0.075,0,-4.81958e-05,-0.000937988,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000304454,0.00539663,-2.18279,-1,-1.35348,-2.20316,733.656,0,0,0
0.076,0,-4.91195e-05,-0.000923724,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000309482,0.00502787,-2.03571,-1,-1.5504,-2.221,744.532,0,0,0
0.077,0,-5.00277e-05,-0.000908181,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000314387,0.00490595,-1.98734,-1,-1.68605,-2.27966,752.513,0,0,0
0.078,0,-5.09201e-05,-0.000892362,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000319816,0.00542822,-2.19666,-1,-1.8248,-2.33481,762.99,0,0,0
0.079,0,-5.17963e-05,-0.000876215,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000326248,0.00643218,-2.59871,-0.815525,-1.83529,-2.48487,773.279,0,0,0
0.08,0,-5.26554e-05,-0.000859071,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000333142,0.00689376,-2.78388,-0.698353,-1.7766,-2.66119,781.47,0,0,0
